,input,output
1926,(t(s∨(r∨t)))⊢((s∨(r∨t))∨t),r(s∨(p∨s))(r∨((∨(s∨()))((r∨(∨))∨)
1927,((t→q)(¬r))⊢(t∨(¬r)),(s→q)(¬p)((∨(¬))))∨¬)
1928,((p∨(p→q))s)⊢(s∨(p∨s)),(t∨(p→q))s(t∨s)(t∨(q∨s))
1929,(r((r∨p)→p))⊢(r∨t),q((q∨p)→r)(s∨()(∨))
1930,(r(s→q))⊢((s→q)∧(q∨(s→q))),t(s→s)(p∨(t→p))((t→s)∧(t∨(t→t)))
1931,((s∨q)(r→r))⊢((r→r)→((r→r)∨q)),(q∨r)(s→p)((p→p)∨s)((s→p)∧((s→s)∨s))
1932,((p→(¬r))(s∧q))⊢(s∧q),(q∨(¬q))(s∧s)((s∧(¬q))∧(q∧q))(s∧q)
1933,(((r→t)∧r)s)⊢(r∨(r→t)),((t→t)∧t)s(q→t)(t∨(s→q))
1934,((p→r)(r∧p))⊢((r∧p)∨r),(s→s)(s∧s)((∨∧s)∨))((∧)∨)
1935,((q∨(s∧p))s)⊢(t∨s),(s∨(p∧p))s((∨∨(∧)
1936,((t∧s)(¬p))⊢((¬p)→((¬p)∨r)),(s∧q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
1937,((s∧t)p)⊢((s∧t)→p),(t∧s)qt((p∧t)→q)
1938,((s→q)r)⊢((s→q)→(p∨(s→q))),(t→s)p(p∨(p→p))((t→s)∧(t∨(t→s)))
1939,((q→q)p)⊢(p→(q∨(q→q))),(t→s)p(t∨(t→s))(q∨(s∨(t→q)))
1940,(s(s∧q))⊢(s∧(p∨s)),t(s∧p)(t∨p)(q∧(q∨p))
1941,((q→(s∨t))(q∧p))⊢(p∨((q∧p)∨r)),(s→(p→q))(p∧s)((s∧p)∨s)(p∨((s∧s)∨p))
1942,((q∧p)t)⊢((q∧p)∨t),(s∧s)q((t∧p)∨r)(()∨
1943,((q∧q)t)⊢(t∨t),(t∧q)q((∨∨))
1944,((t→(r∨t))s)⊢(s∨t),(t→(p∨s))s((∨→)(∨∨))
1945,(s(s∧(s∧p)))⊢(s→(s∧(s∧p))),q(r∧(p∧p))(p→(r∧(q∧p)))
1946,(r(t→s))⊢(r∨((t→s)∨r)),t(s→s)((p→p)∨s)(s∨((s→p)∨s))
1947,((r∧t)s)⊢(s∨s),(s∧s)q((∨∨))
1948,(r(s∨(¬r)))⊢(r→(s∨(¬r))),q(s∨(¬q))(q→(r∨(¬t)))
1949,(t(t∨r))⊢(q∨(t∨r)),q(s∨r)(t∨()(t∨((∨∨))
1950,(p((r∧r)∨t))⊢((t∨p)∨r),p((p∧t)∨s)(s∨p)((s∨t)∨s)
1951,((p∨p)(p→q))⊢((p∨p)∧(r∨(p∨p))),(q∨r)(p∨p)(t∨(t∨s))((t∨p)∧(t∨(p∨s)))
1952,(((t∨t)∧s)(s∧p))⊢(p∨((t∨t)∧s)),((q∨p)∧q)(p∧q)((∨(((∧∨))∧)))
1953,((¬s)((r→t)∧t))⊢((t∨(¬s))∨q),(¬p)((s→t)∧p)((¬(¬s))(((∨()∨))∨s)
1954,(p(s∨q))⊢(q∨(s∨q)),q(s∨r)(t∨()(t∨((∨∨))
1955,(q(t∧t))⊢(s∨(t∧t)),p(s∧t)((∨(s∧t))(∨(∧))
1956,(p(t∨t))⊢(t∨(t∨t)),q(s∨r)(t∨()(t∨((∨∨))
1957,(s((q∧s)∧p))⊢q,q((s∧p)∧p)(q∧q)s
1958,((¬r)((r∧r)∧p))⊢((¬r)→p),(¬p)((s→r)∧s)s((¬q)∧r)
1959,((s∨q)q)⊢(r∨(q∨r)),(t∨p)p(p∨()(t∨((∨∨))
1960,(s(s∧(¬s)))⊢(s∨s),q(s∧(¬q))((∨∨)
1961,(r(r∧q))⊢((r∧q)∨r),p(s∧t)((∨(t∧∨))((∧)∨)
1962,(q(q∧(p→p)))⊢(q→(q∨q)),q(r∧(p→p))(q∨p)(q→(t∨p))
1963,(s(t→q))⊢((t→q)→((t→q)∨q)),t(s→s)((p→p)∨s)((s→p)∧((s→s)∨s))
1964,((t∨q)(r→t))⊢((r→t)∨q),(q∨s)(p→p)((∨(p)∨))((r→p)∨t)
1965,((p∧q)(r→(p∧p)))⊢(q∨(p∧q)),(s∧p)(s∧(r∧s))((∨((∧∧)))
1966,(s(q→q))⊢(q∨s),q(t→s)(q∨()→))(∨)
1967,((s∨s)(¬r))⊢((s∨s)→(q∨(s∨s))),(p∨s)(¬p)(t∨(t∨s))((t∨p)∧(t∨(q∨s)))
1968,(p((¬q)∧t))⊢(q∨((¬q)∧t)),q((¬s)∧s)((∨((¬p)(∧)))∧
1969,((t→p)(q∧(r∧q)))⊢(r∧q),(s→p)(s∧(r∧p))((r∧p)∧(r∧(r∧p)))(s∧r)
1970,((s∧(q∧q))s)⊢(q∨s),(r∧(p∧t))s((∨∨))
1971,((s∧r)(p∨r))⊢((p∨r)∨t),(q∧p)(p∨p)((∨∨p)∨))(()∨)
1972,(p(s∧t))⊢(p→(s∧t)),p(s∧t)(q→(r∧p))
1973,(p(s→(p→t)))⊢((s→(p→t))∨t),r(t→(p→p))((∨((((r→())))(∨→(
1974,((r∧t)t)⊢(t∨s),(s∧s)q((∨∨))
1975,(q(q∨r))⊢(q∨(q∨r)),q(s∨r)(t∨()(t∨((∨∨))
1976,((¬q)q)⊢(q∨r),(¬p)p((∨p)
1977,((s∧(¬q))(q→(¬q)))⊢s,(s∧(¬q))((∧(¬∧))s
1978,(((t→s)∧q)t)⊢(r∨(t∨q)),((t→t)∧t)s(s∨s)(t∨(p∨q))
1979,((¬p)(q∧t))⊢((¬p)→q),(¬p)(q∧t)q((¬q)→q)
1980,((s∨(p→p))(p→t))⊢((p→t)∨s),(s∨(p→q))(p→s)((s∨()∨p)())
1981,((r→p)(t∨q))⊢((r→p)∧(q∨(r→p))),(q→r)(s∨p)(t∨(s→p))((t→s)∧(r∨(t→s)))
1982,(r((r∨r)→r))⊢(r∧((r∨r)→r)),q((q∨p)→s)(q→((t∨p)→r))
1983,(p((p∨t)∨t))⊢(p∨p),p((q∨p)∨s)(s∨()(∨)
1984,((t∧(t∨p))q)⊢((t∧(t∨p))→q),(q∧(p∨s))s((r∧((∨t))→→)
1985,(((t∧p)→r)r)⊢(((t∧p)→r)∨p),((s∧p)→p)s(((t∧()(q)∧))(((r∧))∨
1986,((s∨q)(t→p))⊢(q∨(s∨q)),(q∨p)(p→p)((∨(p)∨))(p∨(p∨p))
1987,(s((q∧s)→r))⊢(t∨((q∧s)→r)),p((s∧p)→s)(s∨(((∧t)→q))(∨((∧))
1988,(((s∨q)∧p)(r∨r))⊢(r∨(r∨r)),((q∨p)∧q)(q∨s)((∨∨((∨∨)))
1989,(p(r∧(t∨t)))⊢((r∧(t∨t))→((r∧(t∨t))∨s)),p(t∧(p∨p))((r∧(r∧q))∨t)((s∧(r∧p))→((s→(r∧p))∨s))
1990,((q→s)(q∧(p→q)))⊢((q→s)∨s),(s→p)(s∧(r∧p))((∨t)((r)))∨)
1991,((r→s)s)⊢(t∨(p∨s)),(t→s)p(p∨p)(t∨(q∨q))
1992,(s(t∧r))⊢t,q(s∧q)(
1993,((q→(s→q))(s→t))⊢(q→(s→q)),(s∨(p→q))(p→s)((s→(t→s))∧(q→s))(s→(p→p))
1994,(t(r→t))⊢(s∨t),q(s→s)(q∨()→))(∨)
1995,(q((p∧t)∧r))⊢(q∧(t∨q)),q((s∧p)∧p)(q∨p)(q∧(q∨p))
1996,(t(q→q))⊢((q→q)∧((q→q)∨s)),t(s→s)((p→p)∨r)((s→p)∧((s→s)∨t))
1997,(((q∨p)→p)t)⊢(s∨(t∨p)),((q∨p)→q)s(s∨s)(t∨(s∨s))
1998,((p∧(¬t))p)⊢(p∧(p∨r)),(s∧(¬q))s(s∨q)(s∧(q∨p))
1999,((p→t)(s→p))⊢((s→p)→((s→p)∨r)),(q→r)(s→p)((p→p)∨t)((s→p)∧((s→s)∨s))
2000,(s(¬s))⊢((q∨s)∨r),r(¬s)(s∨p)((s∨t)∨p)
2001,(t(q∧r))⊢(t→(q∧r)),p(s∧r)(q→(r∧p))
2002,(p((p∧s)∨t))⊢(s∨p),p((p∧t)∨s)(s∨q)(∧∨))
2003,((¬p)(t∧s))⊢((¬p)∨r),(¬p)(q∧p)(((¬))∨))(¬
2004,((q∧(r→s))s)⊢(r∨s),(r∧(p→q))s((∨∨))
2005,(pp)⊢(p∨t),qq(t∨q)
2006,(((s∧t)∧q)q)⊢(q∨q),((s∧p)∧p)p((∨∨)))
2007,((s∨s)(¬t))⊢(t∨(s∨s)),(s∨q)(¬p)((∨(¬∨)))()∨(∨∨))
2008,((p→p)(q→t))⊢((p→p)∧((p→p)∨s)),(q→r)(s→p)((p→p)∨t)((s→p)∧((s→s)∨s))
2009,(((s∧r)∨p)(q∨s))⊢((q∨s)∧(((s∧r)∨p)∧(q∨s))),((s∧p)→q)(q∨p)(((q∧s)∨()→(q∨())(()∧q)∧(((p(p)∧))∧p))
2010,(p(t∧s))⊢((t∧s)∧((t∧s)∨q)),p(t∧p)((p∧p)∨r)((s∧p)∧((s∧q)∨t))
2011,((q∨s)(r∧s))⊢(q∨(r∧s)),(q∨s)(p∧p)((∨(p∧∧))(∨(∧))
2012,(((s→p)∨r)r)⊢(((s→p)∨r)∨s),((t→t)∨s)s(((t→()(t)∨))(((r→)∨)∨)
2013,((t∧p)((r→s)→r))⊢((t∧p)∨p),(q∧p)((p→t)→s)(((∧∧)∨∨))
2014,((q∧s)q)⊢(q→s),(r∧q)qt(t→q)
2015,((¬r)p)⊢(p→(s∨p)),(¬p)p(t∨p)(s→(p∨q))
2016,(r(s→(¬r)))⊢(r∨p),q(s→(¬q))(r∨()((¬)
2017,(q(r∨s))⊢((r∨s)→(t∨(r∨s))),t(s∨s)(t∨(t∨s))((t∨s)→(r∨(t∨p)))
2018,((q∨t)q)⊢(q→(t∨q)),(t∨p)p(p∨p)(q→(p∨p))
2019,((s→r)(¬r))⊢(r∨(¬r)),(s→q)(¬p)((∨(¬))))∨¬)
2020,(p((r∨p)∨t))⊢(p→(p∨s)),p((q∨p)∨s)(t∨t)(t→(t∨p))
2021,(q(r→(q∧p)))⊢(p∨(r→(q∧p))),q(r→(p∧p))(r∨()((∨∧t)))∧)(
2022,((r∨q)t)⊢(t→(s∨t)),(t∨p)s(p∨p)(q→(p∨p))
2023,(((t→p)→t)t)⊢((t∨s)∨s),((t→t)→p)s(s∨s)((q∨t)∨s)
2024,(s(s∨t))⊢((s∨t)∨q),t(q∨r)((∨∨)((r∨()∨∨)
2025,(p((s∨r)∨p))⊢(q∨p),p((q∨p)∨s)(s∨()(∨))
2026,((r∨t)(s→(t∨s)))⊢(s∨(s→(t∨s))),(s∨p)(s→(p∨p))((∨(p∨∨))()∨(s∨(∨)))
2027,((t∧s)q)⊢((t∧s)∨r),(s∧s)q((t∧p)∨r)(()∨)
2028,((r∧r)(s∧q))⊢((s∧q)→s),(r∧q)(s∧t)q((p∧q)→q)
2029,((s∨(¬q))q)⊢((s∨(¬q))∧((s∨(¬q))∨p)),(s∨(¬q))q(((∨(¬s))∨s)((s∨(¬q))∧((q∨(¬s))∨p))
2030,(t(s→t))⊢(s∨(r∨t)),t(s→p)(t∨p)(t∨(q∨q))
2031,(((p→t)∧r)(t∧s))⊢r,((p→t)∧p)(q∧p)p
2032,((t∨(t→t))p)⊢(p∧(p∨t)),(t∨(p→q))s(s∨p)(s∧(p∨s))
2033,((s∧p)p)⊢(s∧p),(s∧p)q((s∧r)∧
2034,(p((s→s)→s))⊢((s→s)→s),q((q→t)→s)(q∧((t→q)→s))((q→p)→s)
2035,(((q∧s)→s)s)⊢((q∧s)→s),((s∧p)→q)s(((t∧r)∧q)∧s)((s∧p)→q)
2036,(q(q∨(¬r)))⊢(t∨(q∨(¬r))),q(s∨(¬p))(q∨((∨(¬()))(∨((¬))
2037,((q∧t)(p∨(r→t)))⊢(t∨(q∧t)),(s∧p)(s→(r∧s))((∨((∧∧)))
2038,((p∧p)q)⊢(t∨(p∧p)),(s∧s)t((∨(p∧∧))(∨())
2039,(t((r→p)→s))⊢(t∨s),q((q→t)→s)(s∨()(→∨))
2040,(r(p→r))⊢((p→r)∨t),t(s→r)((∨()→())((∨→))∨)
2041,(((q∨s)→q)p)⊢(p∧(p∨q)),((q∨t)→p)s(t∨p)(q∧(q∨p))
2042,(s(t→r))⊢(s→(s∧(t→r))),t(s→s)(p∧(t→s))(s∧(q∧(t→s)))
2043,((q→p)(s∧r))⊢(s∨r),(s→s)(s∧p)q(t∨s)
2044,(t((t∨s)∨r))⊢(t∧(t∨q)),p((q∨p)∨s)(t∨t)(s∧(t∨p))
2045,((¬r)((t∧q)∨p))⊢((¬r)∨r),(¬p)((s→t)∨s)((¬()∨))((¬)∨)
2046,(s(t∧(s∨s)))⊢(q∨(r∨s)),p(r∧(p∨s))(s∨p)(s∨(s∨s))
2047,(((s∨t)∧p)r)⊢(((s∨t)∧p)∧r),((q∨q)∧t)s(((t∨p)∧p)∧p)
2048,((s∧p)(q∧r))⊢((q∧r)→r),(r∧q)(s∧t)q((p∧q)→q)
2049,((t∧q)t)⊢((r∨(t∧q))∨t),(r∧p)q(t∨(s∧s))((r∨(r∧s))∨s)
2050,(q(r∧r))⊢((r∧r)∨p),p(s∧t)((∨(t∧∨))((∧)∨)
2051,((s→(q→r))(¬q))⊢((s→(q→r))∨s),(q∨(q→s))(¬s)((∨((s))((∨))))r))→
2052,(((s∨r)∧s)t)⊢s,((q∨t)∧q)p(((t→p)∧p)∧p)s
2053,(p(p∨q))⊢(p→(p∨s)),t(s∨r)(t∨p)(r→(q∨p))
2054,(r(¬s))⊢((¬s)∨s),r(¬s)((¬()∨))¬)
2055,(t(t∧(r∨s)))⊢(t∨q),p(r∧(p∨s))((∨∨))
2056,((p∧t)((¬r)→t))⊢((p∧t)∧t),(s∧p)((¬r)→s)((r∧∧)∧((¬p))))((¬∧))∧)
2057,(r(q∧r))⊢(r∨s),q(s∧p)((∨∨))
2058,((t→t)(r→p))⊢((r→p)∧(q∨(r→p))),(q→r)(s→p)(t∨(s→p))((t→p)∧(s∨(t→s)))
2059,((r∨t)(¬r))⊢(q∨(r∨t)),(s∨q)(¬p)((∨(p∨)))()∨(∨∨))
2060,(((r∧p)→r)t)⊢(t∨t),((s∧p)→q)s((∨r)()∨)
2061,(r(r∨r))⊢(t∨(r∨r)),t(s∨r)(t∨()(t∨((∨∨))
2062,(q(q∨(r∨t)))⊢q,r(s∨(p∨q))(t∧(r∨(r∨t)))s
2063,(r(¬q))⊢(r→(r∧(¬q))),r(¬s)(t∧(¬r))(t∧(s∧(¬t)))
2064,(p(¬t))⊢(q∨p),s(¬s)(s∨(¬))
2065,(t(p→(t∧s)))⊢(t∨s),q(r→(q∧p))(r∨()∨)
2066,((¬t)(s∧p))⊢((s∧p)∧((s∧p)∨p)),(¬p)(p∧p)((s∧s)∨t)((s∧p)∧((s∧p)∨s))
2067,(((¬t)→q)(r∨(p→q)))⊢((r∨(p→q))∧((r∨(p→q))∨p)),((¬r)→t)(s→(r∧→s)((∨((∨((∨∨))(((¬()¬)))((∨∨((∨∨)))))))
2068,(q((s→r)∨p))⊢(((s→r)∨p)∨q),p((p→t)∨s)(s∨((t→()∨∨))(((r→)∨)∨)
2069,(((q∧r)∧t)q)⊢(((q∧r)∧t)∨t),((s∧p)∧p)s(((t∧((∧q∧p))((r∧
2070,((s∧p)q)⊢p,(t∧q)q(
2071,((t→r)(q∨s))⊢((t→r)∨p),(q→s)(p∨p)((∨→p)∨))((r→p)∨→)
2072,((s∧p)(q→t))⊢((s∧p)→p),(r∧q)(s→s)q((t∧t)→q)
2073,(((q→q)∧q)(r∧p))⊢(r∨(q→q)),((p→t)∧q)(s∧q)((∨((∧∧∨))
2074,((s→s)(p∨s))⊢(r∨(s→s)),(q→s)(p∨p)((∨(s→∨))(p∨(t→p))
2075,(s((t→r)∨t))⊢(p∨((t→r)∨t)),p((p→p)∨s)(s∨((s→∨)∨p))(∨∨((→)∨))
2076,((¬p)(q∨(t∨t)))⊢(r∨(¬p)),(¬s)(s∨(r→s))((∨(¬∨))(∨(¬))
2077,((p∨(¬p))q)⊢(s∨q),(q∨(¬q))s((∨∨)¬∨))∨
2078,((s∧(t∨p))((s∧q)→p))⊢((s∧(t∨p))∨p),(r∧(p→q))((p∧t)→s)((∨((s→→))∨))(()))
2079,(((q∨q)→r)r)⊢(t∨r),((q∨p)→r)s((∨r)()∨)
2080,(s(p∨s))⊢((p∨s)∨p),t(q∨r)((∨∨)((r∨)∨∨)
2081,(q(p∧(p→s)))⊢q,q(r∧(p→p))(q∧(q∧(q→q)))q
2082,((q∨s)(p∨p))⊢((s∨(q∨s))∨t),(q∨r)(p∨p)(t∨(p∨p))((p∨(p∨p))∨p)
2083,(((q∨s)∨p)((¬r)→s))⊢(((q∨s)∨p)∧((¬r)→s)),((s∨q)∨q)((¬s)→t)(((s→q)∨q)→((¬p)→s))
2084,((r∧(s→t))(s→p))⊢(r∨r),(r∧(p∧q))(p∧q)q(q∨s)
2085,((¬q)(q∨s))⊢(q∨(q∨s)),(¬p)(s∨s)((∨()∨)))(∨((∨∨))
2086,((t∨(p∧q))(s∧r))⊢((t∨(p∧q))∧(q∨(t∨(p∧q)))),(s∨(p∧s))(s∧s)((∨((→(()∨)))((s∨(r∧p))∧(q∨((→(t→p)))))
2087,((r∨s)((s∧s)→s))⊢(s∨(s∨(r∨s))),(q∨p)((p→t)∨t)((∨(p∨∨))(p∨(q∨(→)))
2088,((r∨p)(r→r))⊢((r∨p)∨p),(q∨s)(p→p)((∨∨p)∨))((r∨p)∨p)
2089,(t(q∨q))⊢((q∨q)∨s),t(q∨r)((∨∨)((r∨()∨∨)
2090,((r∧q)(q∧(r→r)))⊢r,(s∧p)(t∧(t→t))s
2091,(t(p∨p))⊢((p∨p)∨r),t(s∨r)((∨∨)((r∨()∨∨)
2092,(((t∧t)∧q)s)⊢(t∧t),((s∧p)∧p)sq(p∧p)
2093,(t((r∨p)∧r))⊢((r∨p)∨t),q((q∨p)∧p)(s∨p)((q∨q)∨s)
2094,(p(q∧r))⊢(q∨p),q(s∧p)((∨∨))
2095,((¬s)(q∧p))⊢((¬s)∧(q∧p)),(¬p)(p∧t)((¬p)∧(t∧p))
2096,(p((p→t)∧s))⊢(p∧(r∨p)),q((s→p)∧p)(t∨p)(q∧(q∨p))
2097,((q∧p)q)⊢p,(t∧q)q(
2098,((q∨t)(¬t))⊢(r∨(¬t)),(s∨q)(¬p)((∨(¬)))((∨∨¬))
2099,((s∨s)(¬p))⊢((s∨s)→(p∨(s∨s))),(p∨s)(¬p)(t∨(t∨s))((t∨p)∧(t∨(q∨s)))
2100,(t(t∧(t→r)))⊢(t∧(t∨p)),q(r∧(p→p))(s∨r)(q∧(q∨p))
2101,((q→r)s)⊢(q∨(q→r)),(q→s)p((∨→))∨))(∨(→))
2102,((s∨r)t)⊢((s∨r)∨s),(t∨q)q((∨∨)((t∨)∨∨)
2103,(r(t∧q))⊢((q∨r)∨p),t(s∧p)(t∨p)((p∨q)∨q)
2104,(s(q∨q))⊢(t∨s),q(s∨r)(r∧()∨))(∨)
2105,((p∧q)s)⊢((s∨s)∨q),(q∧s)p(t∨p)((t∨t)∨s)
2106,((q→p)(r→(q∧p)))⊢((q→p)→(r∨(q→p))),(s→p)(s→(r∨p))(q∨(p→r))((p→r)→(t∨(s→p)))
2107,((p∨p)q)⊢((p∨p)→(r∨(p∨p))),(q∨p)p(t∨(t∨p))((t∨s)∧(t∨(t∨s)))
2108,(q((¬t)∧p))⊢q,q((¬r)∧p)(q∧((¬r)∧p))s
2109,(t((t∨s)∨r))⊢((t∨q)∨r),p((s∨p)∨s)(s∨()((t∨∨)∨))∨
2110,((r→(r∧p))q)⊢(r→(r∧p)),(r→(p∧q))s((r→(r∧p))∧s)(s→(p∧p))
2111,(t((s∧q)→s))⊢(((s∧q)→s)∨p),p((s∧p)→s)((∧(((∧()∧∨))(((r∧))∨
2112,(((r∨q)∧t)q)⊢(p∨q),((q∨p)∧t)s((∨∨))
2113,(p(t∨t))⊢(p∨s),q(s∨r)(r∧()∨))(∨)
2114,((s∧(t∨s))(q→(t→p)))⊢((s∧(t∨s))∨t),(q∧(p∧q))(q→(r→s))((∨→(s(s))∨))((→(→))∨)
2115,(p(t∨q))⊢(r∨(t∨q)),q(s∨r)(t∨()(t∨((∨∨))
2116,(((p∧q)∧t)((q∨t)→r))⊢(s∨t),((s∧p)∧q)((p∧q)∧q)s(s∨s)
2117,((p→s)q)⊢(s∨(t∨(p→s))),(q→s)p(t∨(t→s))(q∨(s∨(t→q)))
2118,((t∨s)(t∧p))⊢((t∧p)∧p),(s∨q)(p∧s)q((p∧q)∧q)
2119,(r(s→(q→s)))⊢((p∨r)∨r),r(r→(p→p))(q∨p)((q∨q)∨s)
2120,(((r∨r)∨r)r)⊢(p∨r),((q∨p)∨s)s((∨r)(∨∨)
2121,(r(s∨p))⊢(s∨r),q(s∨r)(r∧()∨))(∨)
2122,(s((r→t)∨p))⊢(s∧(s∨t)),p((q→t)∨s)(s∨t)(s∧(t∨p))
2123,((p∧p)(s∧(t∨s)))⊢((p∧p)→((p∧p)∨t)),(s∧p)(s→(r∧p))((s∧p)∨r)((p∧r)→((p∧p)∨r))
2124,((s→r)(¬r))⊢((s→r)→(¬r)),(s→q)(¬t)((s→r)→(¬p))
2125,(t(r∧s))⊢(q∨(r∧s)),p(s∧t)((∨(p∧t))(∨(∧))
2126,(q(s∧(s∨s)))⊢((q∨r)∨q),p(r∧(p∨s))(s∨p)((q∨q)∨s)
2127,(((q→q)∧p)t)⊢(t∨r),((t→t)∧t)s((∨∨)))
2128,(t(t∧(t→r)))⊢(t∧t),q(r∧(p→p))t(q∧s)
2129,(r(r∨p))⊢(q∨r),q(s∨r)(r∧()∨))(∨)
2130,(((t→p)→q)r)⊢(q∨((t→p)→q)),((t→t)→q)s(((((r)→))→))(→∨((→)→))
2131,(t(r∧(q→q)))⊢(t→(t∨q)),q(r∧(p→p))(q∨p)(q→(t∨p))
2132,(t((r→s)∧r))⊢(r∨t),q((q→p)∧p)((∨∨)(
2133,(((r→p)→s)r)⊢(r∨p),((t→t)→q)s((∨r)()∨)
2134,((t→t)(¬p))⊢(s∨(¬p)),(s→q)(¬p)((∨(¬))))∨¬)
2135,(t(t→p))⊢(t∧(t∨p)),t(s→p)(t∨p)(q∧(t∨p))
2136,(q(r∨(r∧t)))⊢(t∨q),q(r∨(r∧p))(r∨())
2137,((q∨s)p)⊢((p∨t)∨q),(t∨q)q((∨∨)((t∨()∨∨)
2138,(s(p∧r))⊢(q∨p),q(s∧p)((∨∨))
2139,((t→(q→q))(r∨p))⊢(p∨(r∨p)),(s→(p→q))(p∨s)((∨(p∨∨))(∨(()
2140,(t(r∨r))⊢(p∨(t∨t)),t(s∨r)(t∨()(t∨((∨∨))
2141,(q(t∨q))⊢(t∨q),q(s∨r)(r∧()∨))(∨)
2142,((s∧p)(s∨s))⊢(q∨(q∨(s∨s))),(q∧p)(p∨p)(t∨(p∧p))(p∨(p∨(p∨p)))
2143,((¬q)(q∧s))⊢(p∨(q∧s)),(¬p)(p∧q)((∨((∧∧)))
2144,(q(p∧(p→p)))⊢(p∧(p→p)),q(r∧(p→p))(q∧()∧(q→t)))(∧())
2145,(t(q∧(r∧t)))⊢q,q(r∧(p∧p))(q∧p)
2146,(q(p∨q))⊢((s∨q)∨r),t(s∨r)((∨∨)((r∨()∨∨)
2147,(s(r∧t))⊢((s∨s)∨s),t(s∧p)(t∨p)((p∨q)∨q)
2148,(r(r→(t∨r)))⊢(r∧(s∨r)),r(t→(p∨s))(s∨r)(s∧(t∨p))
2149,(r((¬r)∨s))⊢(((¬r)∨s)→(((¬r)∨s)∨r)),q((¬s)→s)(((¬(¬∨))∨s)(((¬(¬∨))∧(((¬q)∨))∨p))
2150,(p((q∨p)∧q))⊢(p∧(s∨p)),q((q∨p)∧p)(t∨p)(q∧(q∨p))
2151,((r∨(p∧r))t)⊢(t→(s∨t)),(s∨(p∧p))s(t∨p)(t→(q∨p))
2152,((t∧r)p)⊢(p∨t),(s∧s)q((∨∨))
2153,((r∨s)q)⊢(s∨(r∨s)),(t∨p)p(p∨()(t∨((∨∨))
2154,(p(p→q))⊢((p→q)∧(p∧(p→q))),t(s→s)(p∧(p→s))((t→t)∧(r∧(t→t)))
2155,((t→s)s)⊢((t→s)∨q),(s→s)s((t→))∨t)((→)∨)
2156,((r→s)t)⊢(t∨t),(s→s)q((∨→))∨))
2157,(r(r→(q∨t)))⊢(r→(r→(q∨t))),r(t→(p∨s))(p→(r∨(r∨s)))
2158,((¬t)(p∧q))⊢(p∧q),(¬p)(s∧q)((¬p)∧(p∧p))(s∧p)
2159,(((s→r)∨q)s)⊢((s∨r)∨r),((t→t)∨s)s(s∨s)((s∨t)∨s)
2160,((¬s)(p∧t))⊢(t∨(p∧t)),(¬p)(p∧t)((∨((∧∧)))
2161,((r→p)t)⊢(t∨q),(s→s)q((∨→))∨))
2162,((q∨p)(¬p))⊢((q∨p)→((q∨p)∨r)),(p∨s)(¬p)((p∨s)∨s)((s∨s)∧((p∨p)∨s))
2163,(((t→r)∨s)q)⊢(r∨q),((t→p)∨s)s((∨r)()∨)
2164,(s(t→t))⊢(s∧(s∨r)),t(s→p)(t∨p)(q∧(t∨p))
2165,(p((s→r)∧s))⊢((p∨q)∨q),q((q→p)∧p)(s∨p)((q∨p)∨s)
2166,((q∧t)((p→q)→q))⊢t,(p∧p)((t→t)∧s)s
2167,(t((r∨r)∨r))⊢(((r∨r)∨r)∨t),p((s∨p)∨s)(s∨((t∨()∨∨))(((r∨)∨)∨)
2168,(((r→s)∧q)t)⊢(t∨t),((t→t)∧t)s((∨∨)))
2169,(((r∨r)∨r)r)⊢(r∧(r∨s)),((q∨p)∨s)s(t∨t)(t∧(t∨p))
2170,(p(r∨q))⊢(t∨p),q(s∨r)(r∧()∨))(∨)
2171,(s(r∧p))⊢(t∨(t∨s)),t(s∧p)(p∨p)(t∨(q∨q))
2172,(q(t∧q))⊢((t∧q)→q),p(s∧t)t((t∧t)→p)
2173,(r(q→(q∧s)))⊢((q∨r)∨p),q(r→(r∧p))(q∨p)((q∨p)∨s)
2174,((s∧p)p)⊢((s∧p)∨s),(s∧s)q((t∧p)∨r)(()∨
2175,((¬p)(p→p))⊢((p→p)∨q),(¬p)(p→s)((∨())∨))((→→))∨)
2176,((p∧(¬r))((p∨t)→p))⊢((¬r)∨t),(q∨(¬q))((p∧s)∧s)(((((¬∨))∧((∨∧(¬∧)))((¬(r)∨))
2177,((s∧s)s)⊢((s∧s)∨q),(s∧s)s((t∧p)∨r)(()∨
2178,(((p∨p)∧q)(t→p))⊢((t→p)→q),((q∨p)∧q)(s∧s)q((p∧p)→p)
2179,((t→s)((s→s)→p))⊢(s∨(r∨(t→s))),(q→p)((p→t)∨t)(s∨(p→∨))(p∨(q∨(→r)))
2180,((r∧t)s)⊢((t∨s)∨t),(q∧s)p(t∨p)((t∨t)∨s)
2181,((t∧q)p)⊢((t∧q)∨t),(s∧s)q((t∧p)∨r)(()∨
2182,((r∨s)(s∨t))⊢(((r∨s)∧(s∨t))∨s),(q∨r)(s→p)((p→p)→(q→p))((s→s)∧((p∨p)→(t∧t)))
2183,(t((p∧p)∧p))⊢(((p∧p)∧p)→p),q((s∧p)∧q)r(((t∧q)∧t)→s)
2184,((s∨r)r)⊢(p∨(s∨r)),(t∨p)p(p∨()(t∨((∨∨))
2185,((r∧(s∨s))((p∧r)∧q))⊢(r∨q),(r∧(p∨q))((p∧q)∧t)s(s∨s)
